,#,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Milwaukee,52,48.1,44.3,91.4,.485,14.5,37.0,.392,15.8,20.8,.757,14.1,17.1,10.4,37.7,48.0,25.5,8.1,4.6,118.9
1,2,Brooklyn,53,48.5,43.3,87.7,.493,14.1,36.3,.390,18.0,22.4,.802,13.8,19.1,9.0,35.2,44.2,26.7,6.6,5.2,118.7
2,3,Utah,53,48.2,41.3,88.6,.467,16.8,43.2,.390,17.6,22.3,.792,13.8,18.8,10.9,37.5,48.4,23.4,6.5,5.4,117.1
3,4,Denver,52,48.6,43.7,89.2,.490,13.2,33.9,.389,15.0,19.0,.787,13.5,18.9,10.6,33.8,44.5,27.2,8.1,4.4,115.6
4,5,Portland,52,48.1,40.5,91.0,.445,16.1,42.3,.381,17.8,21.5,.832,11.3,19.4,10.8,33.2,43.9,20.3,7.1,5.2,115.0
5,6,L.A. Clippers,54,48.0,42.1,86.9,.484,14.5,34.6,.418,16.2,19.3,.841,12.8,19.4,9.5,34.7,44.2,24.2,7.2,4.2,114.8
6,7,Phoenix,52,48.6,43.1,88.0,.490,12.9,34.3,.377,15.6,18.8,.833,12.9,19.5,8.5,35.1,43.5,27.2,6.9,4.3,114.8
7,8,New Orleans,52,48.3,42.4,88.2,.481,11.1,31.3,.354,18.7,25.5,.732,14.3,17.8,11.7,34.9,46.5,26.0,7.3,4.4,114.6
8,9,Sacramento,53,48.1,42.8,89.0,.481,12.0,33.3,.359,16.7,22.6,.738,13.3,19.6,9.8,32.4,42.2,25.6,6.7,4.9,114.3
9,10,Philadelphia,53,48.5,41.4,86.9,.476,10.9,29.7,.367,20.1,26.2,.767,15.1,20.5,10.2,35.9,46.1,23.2,8.9,6.3,113.7
10,11,Atlanta,53,48.4,40.5,87.2,.464,12.6,33.9,.371,20.0,24.5,.814,13.5,19.8,10.7,34.6,45.4,24.3,6.9,4.9,113.5
11,12,Washington,52,48.1,41.6,89.4,.466,10.6,30.5,.346,19.5,25.7,.759,14.7,21.7,9.2,35.0,44.2,24.9,7.1,3.7,113.4
12,13,Indiana,51,48.6,42.3,89.7,.472,12.4,34.1,.363,16.2,20.6,.786,13.9,20.4,8.8,33.0,41.8,26.8,8.6,6.3,113.1
13,14,Memphis,50,48.3,42.8,91.8,.466,11.0,30.7,.358,16.2,20.8,.776,13.5,18.7,11.2,35.1,46.3,26.9,9.5,4.5,112.9
14,15,Chicago,51,48.4,42.7,88.9,.480,12.4,33.4,.370,15.0,18.6,.804,15.6,19.3,9.6,35.4,45.0,26.6,6.6,4.3,112.7
15,16,Boston,53,48.3,41.5,88.5,.469,13.3,35.4,.377,16.2,21.0,.769,14.1,20.6,10.8,33.2,43.9,23.3,8.0,5.2,112.5
16,17,Toronto,53,48.0,39.8,88.5,.449,14.9,40.3,.370,17.9,21.7,.825,13.3,21.9,9.3,31.9,41.2,24.5,8.5,5.6,112.4
17,18,Golden State,53,48.1,40.9,88.5,.462,13.7,37.3,.367,16.7,21.5,.776,14.9,21.6,8.0,34.6,42.6,27.3,8.2,4.8,112.2
18,19,Dallas,51,48.1,40.7,86.9,.468,13.8,38.0,.362,16.4,21.1,.776,12.1,19.4,8.6,35.1,43.7,22.4,6.0,4.5,111.5
19,20,Charlotte,51,48.2,40.3,87.9,.458,13.9,36.7,.379,16.6,21.4,.775,15.5,18.1,10.5,33.6,44.2,26.8,8.1,4.8,111.1
20,21,San Antonio,50,48.5,41.5,90.6,.458,10.4,29.3,.355,16.9,21.6,.784,11.4,17.7,9.2,34.7,43.9,24.5,7.1,5.0,110.4
21,22,Minnesota,53,48.4,40.3,91.2,.442,12.6,36.3,.347,17.1,22.0,.775,14.2,21.1,10.4,32.5,42.9,25.0,8.8,5.5,110.3
22,23,L.A. Lakers,53,48.5,40.9,85.8,.476,11.0,30.8,.357,17.5,23.5,.742,15.7,19.2,9.7,35.4,45.2,24.6,7.7,5.5,110.2
23,24,Houston,53,48.1,38.8,88.1,.440,13.5,40.1,.336,16.6,22.5,.739,14.5,19.8,9.1,33.2,42.3,22.9,7.5,5.3,107.7
24,25,Detroit,53,48.6,38.6,86.1,.448,12.0,33.8,.356,18.3,23.7,.772,14.6,20.5,9.8,32.7,42.5,24.5,7.7,5.1,107.5
25,26,Miami,52,48.4,38.5,83.5,.461,12.6,36.2,.347,17.1,21.7,.788,14.8,19.0,8.0,34.4,42.4,26.1,7.4,4.2,106.6
26,27,Oklahoma City,53,48.3,38.8,87.1,.446,12.6,36.2,.348,15.2,20.7,.733,15.5,17.8,8.8,36.1,44.9,22.5,6.8,4.6,105.4
27,28,New York,53,48.2,38.9,86.2,.451,11.2,29.3,.381,16.5,21.4,.769,13.5,20.8,10.2,35.4,45.6,21.1,7.1,4.9,105.4
28,29,Orlando,52,48.2,38.7,89.9,.431,11.5,32.7,.350,15.7,20.1,.782,13.0,17.0,10.5,35.5,46.0,22.5,6.9,4.2,104.6
29,30,Cleveland,52,48.5,38.9,86.3,.451,9.5,28.3,.337,16.4,22.3,.736,15.4,18.7,10.5,32.2,42.7,23.6,8.2,5.0,103.9
